blockgroup_id,total_arrests,discretionary_arrests,unique_individuals,estimated_pop,discretionary_per_1000,total_per_1000,cumulative_pop,cumulative_pop_pct,kmeans_cluster,policing_category
450790103082,4,3,1,50,60.0,80.0,43850,1.7102184087363494,1,Ultra-Policed
450630205061,5,3,1,50,60.0,100.0,43900,1.7121684867394695,1,Ultra-Policed
450830238021,3,3,1,50,60.0,60.0,43950,1.7141185647425898,1,Ultra-Policed
450790007002,3,3,1,50,60.0,60.0,44000,1.71606864274571,1,Ultra-Policed
450830228014,3,3,1,50,60.0,60.0,44050,1.71801872074883,1,Ultra-Policed
450790104102,3,3,1,50,60.0,60.0,44100,1.71996879875195,1,Ultra-Policed
450910618021,4,3,1,50,60.0,80.0,44150,1.7219188767550704,1,Ultra-Policed
450750110003,7,6,2,100,60.0,70.0,44250,1.7258190327613103,1,Ultra-Policed
450770108042,5,3,1,50,60.0,100.0,44300,1.7277691107644304,1,Ultra-Policed
450790117012,7,6,2,100,60.0,70.0,44400,1.7316692667706708,1,Ultra-Policed
450510705001,4,3,1,50,60.0,80.0,44450,1.7336193447737909,1,Ultra-Policed
450190040001,759,400,135,6750,59.25925925925926,112.44444444444444,51200,1.9968798751950079,1,Ultra-Policed
450150206004,197,114,40,2000,57.0,98.5,53200,2.074882995319813,1,Ultra-Policed
450299704021,27,17,6,300,56.666666666666664,90.0,53500,2.086583463338534,1,Ultra-Policed
450150202011,946,488,178,8900,54.831460674157306,106.29213483146067,62400,2.433697347893916,1,Ultra-Policed
450190033004,1202,579,214,10700,54.112149532710276,112.33644859813084,73100,2.8510140405616227,1,Ultra-Policed
450150207072,594,320,120,6000,53.333333333333336,99.0,79100,3.0850234009360373,1,Ultra-Policed
450190047012,127,62,24,1200,51.666666666666664,105.83333333333333,80300,3.1318252730109206,1,Ultra-Policed
450750101002,63,36,14,700,51.42857142857143,90.0,81000,3.159126365054602,1,Ultra-Policed
450350108072,60,46,18,900,51.111111111111114,66.66666666666667,81900,3.194227769110764,1,Ultra-Policed
450150205042,423,217,85,4250,51.05882352941177,99.52941176470588,86150,3.3599843993759753,1,Ultra-Policed
450190037001,985,527,208,10400,50.67307692307693,94.71153846153845,96550,3.765600624024961,1,Ultra-Policed
450630214031,6,5,2,100,50.0,60.0,96650,3.7695007800312013,1,Ultra-Policed
450899708012,8,5,2,100,50.0,80.0,96750,3.773400936037442,1,Ultra-Policed
450750109006,6,5,2,100,50.0,60.0,96850,3.777301092043682,1,Ultra-Policed
450790104072,8,5,2,100,50.0,80.0,96950,3.781201248049922,1,Ultra-Policed
450850011002,6,5,2,100,50.0,60.0,97050,3.785101404056163,1,Ultra-Policed
450499202003,10,5,2,100,50.0,100.0,97150,3.789001560062402,1,Ultra-Policed
450630205051,5,5,2,100,50.0,50.0,97250,3.7929017160686427,1,Ultra-Policed
450130005033,8,5,2,100,50.0,80.0,97350,3.796801872074883,1,Ultra-Policed
450850017043,13,5,2,100,50.0,130.0,97450,3.800702028081123,1,Ultra-Policed
450439201001,5,5,2,100,50.0,50.0,97550,3.804602184087363,1,Ultra-Policed
450410014003,7,5,2,100,50.0,70.0,97650,3.8085023400936038,1,Ultra-Policed
450190046123,57,45,18,900,50.0,63.333333333333336,98550,3.8436037441497657,1,Ultra-Policed
450350105032,162,97,39,1950,49.743589743589745,83.07692307692308,100500,3.9196567862714504,1,Ultra-Policed
450150208092,342,134,55,2750,48.727272727272734,124.36363636363636,103250,4.026911076443058,1,Ultra-Policed
450150207073,466,259,107,5350,48.41121495327103,87.10280373831776,108600,4.235569422776911,1,Ultra-Policed
450150207222,117,66,28,1400,47.142857142857146,83.57142857142857,110000,4.290171606864274,1,Ultra-Policed
450190031063,1658,780,333,16650,46.846846846846844,99.57957957957959,126650,4.939547581903276,1,Ultra-Policed
450190016002,286,120,52,2600,46.15384615384615,110.0,129250,5.040951638065523,1,Ultra-Policed
450190038001,1329,654,290,14500,45.103448275862064,91.65517241379311,143750,5.6064742589703584,1,Ultra-Policed
450190021051,25,18,8,400,45.0,62.5,144150,5.62207488299532,1,Ultra-Policed
450850019022,18,9,4,200,45.0,90.0,144350,5.6298751950078,1,Ultra-Policed
450350105012,194,109,49,2450,44.48979591836735,79.18367346938776,146800,5.725429017160686,1,Ultra-Policed
450190026041,186,117,53,2650,44.15094339622642,70.18867924528303,149450,5.828783151326053,1,Ultra-Policed
450190046122,21,11,5,250,44.0,84.0,149700,5.838533541341653,1,Ultra-Policed
450350102004,24,11,5,250,44.0,96.0,149950,5.848283931357255,1,Ultra-Policed
450150207161,504,280,129,6450,43.41085271317829,78.13953488372093,156400,6.09984399375975,1,Ultra-Policed
450190031072,259,119,55,2750,43.27272727272727,94.18181818181819,159150,6.207098283931358,1,Ultra-Policed
450150209042,164,101,47,2350,42.97872340425532,69.78723404255318,161500,6.298751950078003,1,Ultra-Policed
450350103003,71,32,15,750,42.666666666666664,94.66666666666666,162250,6.328003120124805,1,Ultra-Policed
450299704013,32,17,8,400,42.5,80.0,162650,6.343603744149766,1,Ultra-Policed
450350101002,27,19,9,450,42.22222222222222,60.0,163100,6.361154446177847,1,Ultra-Policed
450350104001,163,80,38,1900,42.10526315789473,85.78947368421052,165000,6.435257410296412,1,Ultra-Policed
450350108081,109,65,31,1550,41.935483870967744,70.3225806451613,166550,6.495709828393135,1,Ultra-Policed
450350103004,51,29,14,700,41.42857142857142,72.85714285714286,167250,6.523010920436817,1,Ultra-Policed
450150206005,337,184,90,4500,40.88888888888889,74.8888888888889,171750,6.698517940717628,1,Ultra-Policed
450150207101,335,148,73,3650,40.54794520547946,91.78082191780821,175400,6.840873634945398,1,Highly Policed
450190031112,410,224,111,5550,40.36036036036036,73.87387387387386,180950,7.057332293291732,1,Highly Policed
450790104112,4,4,2,100,40.0,40.0,181050,7.061232449297972,1,Highly Policed
450510515012,2,2,1,50,40.0,40.0,181100,7.063182527301091,1,Highly Policed
450030221002,4,2,1,50,40.0,80.0,181150,7.065132605304212,1,Highly Policed
450750104001,3,2,1,50,40.0,60.0,181200,7.067082683307333,1,Highly Policed
450439203021,12,8,4,200,40.0,60.0,181400,7.074882995319813,1,Highly Policed
450279605001,5,4,2,100,40.0,50.0,181500,7.078783151326053,1,Highly Policed
450219705025,2,2,1,50,40.0,40.0,181550,7.080733229329173,1,Highly Policed
450830223024,4,2,1,50,40.0,80.0,181600,7.082683307332294,1,Highly Policed
