policing_category,total_pop,total_arrests,discretionary_arrests,unique_individuals,num_blockgroups,pop_pct,disc_per_1000,total_per_1000,unique_per_1000
Highly Policed,63887,21328,8945,5855,45,15.441265329601539,140.01283516208304,333.8394352528683,91.64618780033497
Normally Policed,322353,38357,13821,12456,181,77.91159708223965,42.875357139533364,118.99067171703071,38.64086886115532
Ultra-Policed,27502,22374,9599,5650,33,6.647137588158804,349.02916151552614,813.540833393935,205.43960439240783
