DefendantId,drug_count,drug_type,policing_category
017fbdc7a1a1c4d463a275a3,21,Distribution,Normally Policed
0186fd3ca370c0bc056b81ec,1,Possession,Highly Policed
018d92515d4229609c340c2e,1,Possession,Normally Policed
018da01d16454e733f3116c5,5,Possession,Normally Policed
019062c32a477cbd1e13e958,1,Distribution,Normally Policed
0196f3d376e02c9c8d22cf2f,3,Distribution,Normally Policed
019739aa8651c7a8e8b5d692,1,Possession,Normally Policed
01a1b572a8012ec79f78f121,1,Distribution,Normally Policed
01a802ab80816d2686419719,1,Distribution,Normally Policed
01a8f35c2d7804097b3e3d3a,3,Possession,Normally Policed
01ab43aaddf7fe4550af686e,1,Distribution,Normally Policed
01b7c07881c930a060d0d942,2,Distribution,Normally Policed
01bacc5e93c75bfe8d649a5c,1,Distribution,Highly Policed
01baea592838aa1e338a5d69,2,Distribution,Normally Policed
01c59af7aa0ae27fb2509fc6,1,Distribution,Normally Policed
01cac4ab2720766b69b5574a,2,Possession,Normally Policed
01cd31d81de44dabddbe1d99,1,Distribution,Normally Policed
01d0568f3169a83d3ad8291e,1,Possession,Highly Policed
01d8fc6f59f30623939bda1d,7,Distribution,Normally Policed
01de79a54d5212753868cbed,5,Possession,Normally Policed
01e607a290973ede613fe6b3,1,Possession,Ultra-Policed
01e9d8ca6fc095591b7a0a55,1,Distribution,Normally Policed
01ea2419cc4408fe0c75dc6d,1,Possession,Normally Policed
01ed8b25c83c6fc43a03caa0,3,Distribution,Normally Policed
01ee7d591231dabd80073046,1,Possession,Normally Policed
01f1396878c31a8fa391c6fd,1,Possession,Normally Policed
01f4b53390e92545c1c43491,1,Distribution,Normally Policed
01f53e6ba38f4025d33e7c33,1,Possession,Normally Policed
01f8db973593cb0f46b72f77,2,Possession,Normally Policed
01faed241fb887088d09e252,5,Distribution,Normally Policed
0202ad46a6db2135cac07f58,7,Possession,Normally Policed
02097507cef74895765d14c4,3,Distribution,Normally Policed
020b814ff057ea78192256d3,2,Possession,Normally Policed
020ba5195da6647a66633e8f,1,Possession,Normally Policed
020c615ba83c326f0ff7b87e,1,Possession,Normally Policed
0217c9453d63685dd9527bcc,3,Distribution,Highly Policed
021e5e36869e6cca7eedb5f0,1,Possession,Normally Policed
022161c6f65b2ecde4b96154,1,Distribution,Normally Policed
0222eff1f73dd8a0c43d8a22,1,Possession,Normally Policed
022836be0cd5d123994c531c,1,Possession,Normally Policed
0228dc570ccd33823e88ff41,1,Possession,Normally Policed
022a8537301d28cc99f7e105,1,Distribution,Highly Policed
0231784c6de2d0229e38bc65,1,Possession,Normally Policed
02324ec316309332f9b93a93,1,Possession,Highly Policed
0232c8122af837f3ba76b962,25,Distribution,Ultra-Policed
02352e31be9f99c7cb2bf895,1,Possession,Highly Policed
023975756107c14f66ba4346,1,Distribution,Normally Policed
024cdffaab08b627057ea5dc,2,Possession,Normally Policed
0253c0cc1b7554e6a3108b9f,2,Distribution,Normally Policed
0255916e0316dc52c33dd1a5,1,Possession,Normally Policed
0259ba31f38ec4a1e5b52e7c,1,Possession,Highly Policed
0259df6bd580ddb7d0779677,1,Distribution,Normally Policed
0260f2aa3f866a0a57aa3e79,1,Possession,Normally Policed
026ecc8129db7b1db05476d6,2,Distribution,Normally Policed
0273b0a1d985c1c0e1b172ae,1,Possession,Normally Policed
0273f8728e8a649ad9b7d6bc,1,Possession,Normally Policed
027b52ef94e226d6f6cd4e0c,2,Distribution,Normally Policed
027b6d9f7a46a97cded96a82,1,Possession,Normally Policed
0280d856162e8c0cddaebb52,4,Distribution,Normally Policed
0281a00fa95f764846d5f401,1,Possession,Highly Policed
02823b42e31a0a5bc5261774,3,Distribution,Normally Policed
028ac3a892e9f82684025325,1,Possession,Normally Policed
028f2b5a5343f157cee02efc,1,Distribution,Normally Policed
0290857b9427ddc21d2caead,1,Possession,Normally Policed
02983df4808d7a835564bf77,1,Possession,Normally Policed
0298c2b27803d9097c359931,1,Possession,Normally Policed
029a9fc00a838600f0e84b00,3,Possession,Highly Policed
029eb64b75b5210c51a3eaa3,8,Distribution,Ultra-Policed
02a0430882347dc3472c6d79,10,Distribution,Normally Policed
02a4c496934444dcfb853a72,1,Possession,Ultra-Policed
02a53f5bd0ad229e903fde66,2,Distribution,Normally Policed
02a5cca81911344772316ef0,1,Distribution,Normally Policed
